,yield,additive_*C3_NMR_shift,additive_*C3_electrostatic_charge,additive_*C4_NMR_shift,additive_*C4_electrostatic_charge,additive_*C5_NMR_shift,additive_*C5_electrostatic_charge,additive_*N1_electrostatic_charge,additive_*O1_electrostatic_charge,additive_E_HOMO,additive_E_LUMO,additive_V1_frequency,additive_V1_intensity,additive_dipole_moment,additive_electronegativity,additive_hardness,additive_molecular_volume,additive_molecular_weight,additive_ovality,additive_surface_area,aryl_halide_*C1_NMR_shift,aryl_halide_*C1_electrostatic_charge,aryl_halide_*C2_NMR_shift,aryl_halide_*C2_electrostatic_charge,aryl_halide_*C3_NMR_shift,aryl_halide_*C3_electrostatic_charge,aryl_halide_*C4_NMR_shift,aryl_halide_*C4_electrostatic_charge,aryl_halide_*H2_NMR_shift,aryl_halide_*H2_electrostatic_charge,aryl_halide_*H3_NMR_shift,aryl_halide_*H3_electrostatic_charge,aryl_halide_E_HOMO,aryl_halide_E_LUMO,aryl_halide_V1_frequency,aryl_halide_V1_intensity,aryl_halide_V2_frequency,aryl_halide_V2_intensity,aryl_halide_V3_frequency,aryl_halide_V3_intensity,aryl_halide_dipole_moment,aryl_halide_electronegativity,aryl_halide_hardness,aryl_halide_molecular_volume,aryl_halide_molecular_weight,aryl_halide_ovality,aryl_halide_surface_area,base_*N1_electrostatic_charge,base_E_HOMO,base_E_LUMO,base_dipole_moment,base_electronegativity,base_hardness,base_molecular_volume,base_molecular_weight,base_ovality,base_surface_area,ligand_*C10_NMR_shift,ligand_*C10_electrostatic_charge,ligand_*C11_NMR_shift,ligand_*C11_electrostatic_charge,ligand_*C12_NMR_shift,ligand_*C12_electrostatic_charge,ligand_*C13_NMR_shift,ligand_*C13_electrostatic_charge,ligand_*C14_NMR_shift,ligand_*C14_electrostatic_charge,ligand_*C15_NMR_shift,ligand_*C15_electrostatic_charge,ligand_*C16_NMR_shift,ligand_*C16_electrostatic_charge,ligand_*C17_NMR_shift,ligand_*C17_electrostatic_charge,ligand_*C1_NMR_shift,ligand_*C1_electrostatic_charge,ligand_*C2_NMR_shift,ligand_*C2_electrostatic_charge,ligand_*C3_NMR_shift,ligand_*C3_electrostatic_charge,ligand_*C4_NMR_shift,ligand_*C4_electrostatic_charge,ligand_*C5_NMR_shift,ligand_*C5_electrostatic_charge,ligand_*C6_NMR_shift,ligand_*C6_electrostatic_charge,ligand_*C7_NMR_shift,ligand_*C7_electrostatic_charge,ligand_*C8_NMR_shift,ligand_*C8_electrostatic_charge,ligand_*C9_NMR_shift,ligand_*C9_electrostatic_charge,ligand_*H11_NMR_shift,ligand_*H11_electrostatic_charge,ligand_*H3_NMR_shift,ligand_*H3_electrostatic_charge,ligand_*H4_NMR_shift,ligand_*H4_electrostatic_charge,ligand_*H9_NMR_shift,ligand_*H9_electrostatic_charge,ligand_*P1_electrostatic_charge,ligand_V10_frequency,ligand_V10_intensity,ligand_V1_frequency,ligand_V1_intensity,ligand_V2_frequency,ligand_V2_intensity,ligand_V3_frequency,ligand_V3_intensity,ligand_V4_frequency,ligand_V4_intensity,ligand_V5_frequency,ligand_V5_intensity,ligand_V6_frequency,ligand_V6_intensity,ligand_V7_frequency,ligand_V7_intensity,ligand_V8_frequency,ligand_V8_intensity,ligand_V9_frequency,ligand_V9_intensity,ligand_dipole_moment
2887,0.0,151.67,0.487,104.84,-0.465,150.97,0.107,-0.35700000000000004,-0.073,-0.2805,-0.0568,770.3689999999998,18.505,2.516823,0.17,0.11,137.4,141.126,1.26,162.25,125.44,-0.101,126.17,0.04,112.39,-0.394,149.68,0.4970000000000001,7.11,0.099,6.61,0.18,-6.0,-0.35,1629.822,12.317,1532.172,94.322,1653.924,37.812,2.97534,3.18,2.82,144.61,187.036,1.24,165.27,-0.755,-0.1703,0.0569,5.0391580000000005,0.06,0.11,376.47,339.409,1.685,424.9,139.04,0.122,114.09,-0.261,141.19,-0.045,33.87,0.648,38.35,0.457,33.83,0.682,47.66,1.008,46.62,1.858,125.25,0.158,148.25,0.01,101.36,-0.171,104.85,-0.34600000000000003,145.58,0.364,138.62,-0.156,129.94,0.048,140.88,-0.004,117.57,-0.362,7.1,0.139,6.41,0.155,6.45,0.17800000000000002,6.93,0.132,-0.925,1391.234,0.05,1661.1129999999996,16.611,906.54,0.339,983.599,3.353,3081.376,27.489,3077.215,33.97,1631.618,37.445,3025.675,16.22,1054.5,1.432,3041.406,35.621,3.735286
98,56.84337220000001,151.67,0.487,104.84,-0.465,150.97,0.107,-0.35700000000000004,-0.073,-0.2805,-0.0568,770.3689999999998,18.505,2.516823,0.17,0.11,137.4,141.126,1.26,162.25,132.85,-0.025,125.36,-0.058,122.91,-0.211,136.02,0.16699999999999998,7.11,0.104,6.97,0.14,-0.2364,-0.0115,725.09,2.58,1284.067,0.009000000000000001,1627.294,0.213,2.410215,0.12,0.11,154.31,185.069,1.263,175.78,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.097,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.453,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.448,132.94,-0.393,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.234,7.03,0.118,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.728,0.153,935.876,2.155,1354.126,1.023,978.463,0.398,1637.6329999999996,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
1446,40.01187418,141.82,0.108,111.09,-0.128,156.66,0.047,-0.278,-0.049,-0.2792,-0.0443,911.255,9.488,2.703396,0.16,0.12,137.47,141.126,1.276,164.31,154.47,0.537,118.48,-0.436,129.84,0.194,114.94,-0.4320000000000001,6.93,0.175,7.31,0.08800000000000001,-0.2614,-0.0375,745.0039999999998,0.013,1316.305,2.086,1628.39,47.034,3.5190839999999994,0.15,0.11,106.57,113.547,1.155,125.53,-0.611,-0.1913,0.0505,2.703408,0.07,0.12,170.58,153.22899999999996,1.268,188.57,139.15,0.136,114.15,-0.326,141.06,0.056,34.2,0.629,38.4,0.468,33.74,0.667,40.22,1.325,41.46,1.029,126.51,0.22,148.46,0.018000000000000002,101.52,-0.161,104.91,-0.37,145.54,0.424,138.29,-0.285,129.92,-0.014,141.07,0.033,117.62,-0.3720000000000001,7.12,0.14400000000000002,6.43,0.151,6.47,0.182,6.95,0.133,-0.741,985.429,0.147,899.436,7.983,905.37,1.224,820.934,4.521,1354.458,9.433,1350.434,2.291,1631.476,34.82,3026.047,16.427,1551.99,8.891,3065.25,13.336,3.792624
1525,41.728023,153.95,0.7190000000000001,95.61,-0.552,162.27,0.179,-0.396,-0.073,-0.2272,-0.0455,1074.375,4.339,2.980515,0.14,0.09,172.8,159.188,1.277,191.52,48.97,-0.183,111.35,0.061,181.37,-0.245,2032.0,0.153,377.98,0.083,274.16,0.157,-0.2525,-0.0429,727.38,3.162,1346.735,1.777,1626.855,3.008,1.059432,0.15,0.1,156.41,272.003,1.266,177.78,-0.611,-0.1913,0.0505,2.703408,0.07,0.12,170.58,153.22899999999996,1.268,188.57,139.15,0.136,114.15,-0.326,141.06,0.056,34.2,0.629,38.4,0.468,33.74,0.667,40.22,1.325,41.46,1.029,126.51,0.22,148.46,0.018000000000000002,101.52,-0.161,104.91,-0.37,145.54,0.424,138.29,-0.285,129.92,-0.014,141.07,0.033,117.62,-0.3720000000000001,7.12,0.14400000000000002,6.43,0.151,6.47,0.182,6.95,0.133,-0.741,985.429,0.147,899.436,7.983,905.37,1.224,820.934,4.521,1354.458,9.433,1350.434,2.291,1631.476,34.82,3026.047,16.427,1551.99,8.891,3065.25,13.336,3.792624
40,62.35242374,151.87,0.424,89.1,-0.579,163.07,0.581,-0.3670000000000001,-0.113,-0.2147,-0.0191,704.643,2.257,3.387206,0.12,0.1,156.08,148.165,1.266,177.47,-1201.76,0.194,178.22,-0.304,256.46,0.217,686.89,-0.442,288.48,0.13699999999999998,189.19,0.07400000000000001,-0.2465,-0.0383,740.683,0.519,1305.598,8.437999999999999,1620.967,57.989,3.355629,0.14,0.1,118.1,204.99400000000003,1.178,137.17,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.097,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.453,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.448,132.94,-0.393,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.234,7.03,0.118,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.728,0.153,935.876,2.155,1354.126,1.023,978.463,0.398,1637.6329999999996,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
3381,26.7561311,145.72,0.165,108.01,-0.413,165.65,0.603,-0.31,-0.112,-0.2671,-0.0395,921.954,7.38,3.973089,0.15,0.11,155.65,155.153,1.304,182.46,-332.15,-0.557,-60.97,0.392,444.44,-0.536,-518.28,0.439,267.93,0.042,113.26,0.188,-0.2495,-0.0395,715.898,20.803,1291.42,0.104,1619.152,11.53,1.988625,0.14,0.11,118.02,204.99400000000003,1.176,136.84,-0.611,-0.1913,0.0505,2.703408,0.07,0.12,170.58,153.22899999999996,1.268,188.57,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.14300000000000002,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.13699999999999998,7.22,0.131,7.19,0.132,6.93,0.131,-0.6759999999999999,3072.225,66.18,900.827,11.173,992.22,0.009000000000000001,1349.505,0.251,1356.691,6.992000000000001,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924
3714,59.0196812,153.74,0.7190000000000001,103.98,-0.5329999999999999,155.9,0.187,-0.364,-0.087,-0.2736,-0.0589,1079.106,2.847,4.695918,0.17,0.11,155.9,155.153,1.319,184.82,132.85,-0.025,125.36,-0.058,122.91,-0.211,136.02,0.16699999999999998,7.11,0.104,6.97,0.14,-0.2364,-0.0115,725.09,2.58,1284.067,0.009000000000000001,1627.294,0.213,2.410215,0.12,0.11,154.31,185.069,1.263,175.78,-0.755,-0.1703,0.0569,5.0391580000000005,0.06,0.11,376.47,339.409,1.685,424.9,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.14300000000000002,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.13699999999999998,7.22,0.131,7.19,0.132,6.93,0.131,-0.6759999999999999,3072.225,66.18,900.827,11.173,992.22,0.009000000000000001,1349.505,0.251,1356.691,6.992000000000001,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924
113,69.39495874,140.71,0.187,117.52,-0.168,146.61,0.062,-0.313,-0.067,-0.2332,-0.0323,895.597,10.129,3.268545,0.13,0.1,154.39,145.161,1.225,170.5,154.47,0.537,118.48,-0.436,129.84,0.194,114.94,-0.4320000000000001,6.93,0.175,7.31,0.08800000000000001,-0.2614,-0.0375,745.0039999999998,0.013,1316.305,2.086,1628.39,47.034,3.5190839999999994,0.15,0.11,106.57,113.547,1.155,125.53,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.097,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.453,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.448,132.94,-0.393,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.234,7.03,0.118,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.728,0.153,935.876,2.155,1354.126,1.023,978.463,0.398,1637.6329999999996,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
934,63.53284655,156.59,0.545,89.9,-0.514,149.99,0.119,-0.368,-0.113,-0.2069,-0.0069,708.6160000000001,6.271,3.036368,0.11,0.1,289.15,264.328,1.439,304.35,-625.55,-0.377,15.99,0.195,54.25,-0.509,739.36,0.617,353.41,0.08,296.62,0.198,-0.2176,-0.0269,699.275,0.096,1346.557,77.439,1624.5120000000004,12.804,2.775967,0.12,0.1,151.48,234.032,1.251,171.95,-0.755,-0.1703,0.0569,5.0391580000000005,0.06,0.11,376.47,339.409,1.685,424.9,140.09,0.097,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.453,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.448,132.94,-0.393,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.234,7.03,0.118,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.728,0.153,935.876,2.155,1354.126,1.023,978.463,0.398,1637.6329999999996,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
454,79.78226496,142.55,0.219,99.96,-0.512,155.9,0.486,-0.339,-0.052000000000000005,-0.2388,-0.057,906.435,3.358,3.94018,0.15,0.09,163.12,181.141,1.239,178.86,154.47,0.537,118.48,-0.436,129.84,0.194,114.94,-0.4320000000000001,6.93,0.175,7.31,0.08800000000000001,-0.2614,-0.0375,745.0039999999998,0.013,1316.305,2.086,1628.39,47.034,3.5190839999999994,0.15,0.11,106.57,113.547,1.155,125.53,-0.611,-0.1913,0.0505,2.703408,0.07,0.12,170.58,153.22899999999996,1.268,188.57,140.09,0.097,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.453,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.448,132.94,-0.393,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.234,7.03,0.118,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.728,0.153,935.876,2.155,1354.126,1.023,978.463,0.398,1637.6329999999996,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
