,yield,additive_*C3_NMR_shift,additive_*C3_electrostatic_charge,additive_*C4_NMR_shift,additive_*C4_electrostatic_charge,additive_*C5_NMR_shift,additive_*C5_electrostatic_charge,additive_*N1_electrostatic_charge,additive_*O1_electrostatic_charge,additive_E_HOMO,additive_E_LUMO,additive_V1_frequency,additive_V1_intensity,additive_dipole_moment,additive_electronegativity,additive_hardness,additive_molecular_volume,additive_molecular_weight,additive_ovality,additive_surface_area,aryl_halide_*C1_NMR_shift,aryl_halide_*C1_electrostatic_charge,aryl_halide_*C2_NMR_shift,aryl_halide_*C2_electrostatic_charge,aryl_halide_*C3_NMR_shift,aryl_halide_*C3_electrostatic_charge,aryl_halide_*C4_NMR_shift,aryl_halide_*C4_electrostatic_charge,aryl_halide_*H2_NMR_shift,aryl_halide_*H2_electrostatic_charge,aryl_halide_*H3_NMR_shift,aryl_halide_*H3_electrostatic_charge,aryl_halide_E_HOMO,aryl_halide_E_LUMO,aryl_halide_V1_frequency,aryl_halide_V1_intensity,aryl_halide_V2_frequency,aryl_halide_V2_intensity,aryl_halide_V3_frequency,aryl_halide_V3_intensity,aryl_halide_dipole_moment,aryl_halide_electronegativity,aryl_halide_hardness,aryl_halide_molecular_volume,aryl_halide_molecular_weight,aryl_halide_ovality,aryl_halide_surface_area,base_*N1_electrostatic_charge,base_E_HOMO,base_E_LUMO,base_dipole_moment,base_electronegativity,base_hardness,base_molecular_volume,base_molecular_weight,base_ovality,base_surface_area,ligand_*C10_NMR_shift,ligand_*C10_electrostatic_charge,ligand_*C11_NMR_shift,ligand_*C11_electrostatic_charge,ligand_*C12_NMR_shift,ligand_*C12_electrostatic_charge,ligand_*C13_NMR_shift,ligand_*C13_electrostatic_charge,ligand_*C14_NMR_shift,ligand_*C14_electrostatic_charge,ligand_*C15_NMR_shift,ligand_*C15_electrostatic_charge,ligand_*C16_NMR_shift,ligand_*C16_electrostatic_charge,ligand_*C17_NMR_shift,ligand_*C17_electrostatic_charge,ligand_*C1_NMR_shift,ligand_*C1_electrostatic_charge,ligand_*C2_NMR_shift,ligand_*C2_electrostatic_charge,ligand_*C3_NMR_shift,ligand_*C3_electrostatic_charge,ligand_*C4_NMR_shift,ligand_*C4_electrostatic_charge,ligand_*C5_NMR_shift,ligand_*C5_electrostatic_charge,ligand_*C6_NMR_shift,ligand_*C6_electrostatic_charge,ligand_*C7_NMR_shift,ligand_*C7_electrostatic_charge,ligand_*C8_NMR_shift,ligand_*C8_electrostatic_charge,ligand_*C9_NMR_shift,ligand_*C9_electrostatic_charge,ligand_*H11_NMR_shift,ligand_*H11_electrostatic_charge,ligand_*H3_NMR_shift,ligand_*H3_electrostatic_charge,ligand_*H4_NMR_shift,ligand_*H4_electrostatic_charge,ligand_*H9_NMR_shift,ligand_*H9_electrostatic_charge,ligand_*P1_electrostatic_charge,ligand_V10_frequency,ligand_V10_intensity,ligand_V1_frequency,ligand_V1_intensity,ligand_V2_frequency,ligand_V2_intensity,ligand_V3_frequency,ligand_V3_intensity,ligand_V4_frequency,ligand_V4_intensity,ligand_V5_frequency,ligand_V5_intensity,ligand_V6_frequency,ligand_V6_intensity,ligand_V7_frequency,ligand_V7_intensity,ligand_V8_frequency,ligand_V8_intensity,ligand_V9_frequency,ligand_V9_intensity,ligand_dipole_moment
0,82.1847816,143.12,0.223,93.06,-0.447,162.34,0.292,-0.33399999999999996,-0.057,-0.2317,-0.0487,906.164,3.681,3.2104470000000003,0.14,0.09,154.41,145.161,1.228,170.87,156.88,0.36200000000000004,122.34,-0.33799999999999997,129.62,0.204,115.4,-0.44799999999999995,7.06,0.138,7.26,0.08,-0.2576,-0.0391,741.113,0.14300000000000002,1311.84,4.551,1626.612,33.814,3.579429,0.15,0.11,111.15,158.003,1.166,130.31,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.09699999999999999,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.45299999999999996,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.44799999999999995,132.94,-0.39299999999999996,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.23399999999999999,7.03,0.11800000000000001,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.7280000000001,0.153,935.8760000000001,2.155,1354.126,1.023,978.4630000000001,0.39799999999999996,1637.6329999999994,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
1,83.08846167,153.74,0.7190000000000001,103.98,-0.5329999999999999,155.9,0.187,-0.364,-0.087,-0.2736,-0.0589,1079.106,2.847,4.695918,0.17,0.11,155.9,155.153,1.319,184.82,156.88,0.36200000000000004,122.34,-0.33799999999999997,129.62,0.204,115.4,-0.44799999999999995,7.06,0.138,7.26,0.08,-0.2576,-0.0391,741.113,0.14300000000000002,1311.84,4.551,1626.612,33.814,3.579429,0.15,0.11,111.15,158.003,1.166,130.31,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.09699999999999999,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.45299999999999996,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.44799999999999995,132.94,-0.39299999999999996,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.23399999999999999,7.03,0.11800000000000001,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.7280000000001,0.153,935.8760000000001,2.155,1354.126,1.023,978.4630000000001,0.39799999999999996,1637.6329999999994,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
2,87.90201497,150.81,0.27899999999999997,99.02,-0.545,163.54,0.602,-0.322,-0.096,-0.264,-0.0474,779.952,13.152999999999999,4.848261,0.16,0.11,155.89,155.153,1.318,184.63,156.88,0.36200000000000004,122.34,-0.33799999999999997,129.62,0.204,115.4,-0.44799999999999995,7.06,0.138,7.26,0.08,-0.2576,-0.0391,741.113,0.14300000000000002,1311.84,4.551,1626.612,33.814,3.579429,0.15,0.11,111.15,158.003,1.166,130.31,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.09699999999999999,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.45299999999999996,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.44799999999999995,132.94,-0.39299999999999996,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.23399999999999999,7.03,0.11800000000000001,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.7280000000001,0.153,935.8760000000001,2.155,1354.126,1.023,978.4630000000001,0.39799999999999996,1637.6329999999994,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
3,84.60201966,140.71,0.187,117.52,-0.168,146.61,0.062,-0.313,-0.067,-0.2332,-0.0323,895.597,10.129,3.268545,0.13,0.1,154.39,145.161,1.225,170.5,156.88,0.36200000000000004,122.34,-0.33799999999999997,129.62,0.204,115.4,-0.44799999999999995,7.06,0.138,7.26,0.08,-0.2576,-0.0391,741.113,0.14300000000000002,1311.84,4.551,1626.612,33.814,3.579429,0.15,0.11,111.15,158.003,1.166,130.31,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.09699999999999999,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.45299999999999996,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.44799999999999995,132.94,-0.39299999999999996,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.23399999999999999,7.03,0.11800000000000001,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.7280000000001,0.153,935.8760000000001,2.155,1354.126,1.023,978.4630000000001,0.39799999999999996,1637.6329999999994,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
4,86.25411640000002,154.33,0.439,95.8,-0.451,150.97,0.113,-0.332,-0.081,-0.2382,-0.0385,1001.2,0.213,2.752454,0.14,0.1,154.42,145.161,1.226,170.65,156.88,0.36200000000000004,122.34,-0.33799999999999997,129.62,0.204,115.4,-0.44799999999999995,7.06,0.138,7.26,0.08,-0.2576,-0.0391,741.113,0.14300000000000002,1311.84,4.551,1626.612,33.814,3.579429,0.15,0.11,111.15,158.003,1.166,130.31,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.09699999999999999,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.45299999999999996,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.44799999999999995,132.94,-0.39299999999999996,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.23399999999999999,7.03,0.11800000000000001,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.7280000000001,0.153,935.8760000000001,2.155,1354.126,1.023,978.4630000000001,0.39799999999999996,1637.6329999999994,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
5,65.93366748,152.73,0.66,98.89,-0.644,161.03,0.555,-0.39799999999999996,-0.128,-0.2472,-0.0049,1073.509,5.912000000000001,3.0594639999999997,0.13,0.12,107.29,97.117,1.196,130.6,156.88,0.36200000000000004,122.34,-0.33799999999999997,129.62,0.204,115.4,-0.44799999999999995,7.06,0.138,7.26,0.08,-0.2576,-0.0391,741.113,0.14300000000000002,1311.84,4.551,1626.612,33.814,3.579429,0.15,0.11,111.15,158.003,1.166,130.31,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.09699999999999999,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.45299999999999996,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.44799999999999995,132.94,-0.39299999999999996,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.23399999999999999,7.03,0.11800000000000001,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.7280000000001,0.153,935.8760000000001,2.155,1354.126,1.023,978.4630000000001,0.39799999999999996,1637.6329999999994,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
6,60.25206697,151.67,0.48700000000000004,104.84,-0.465,150.97,0.107,-0.35700000000000004,-0.073,-0.2805,-0.0568,770.3689999999997,18.505,2.516823,0.17,0.11,137.4,141.126,1.26,162.25,156.88,0.36200000000000004,122.34,-0.33799999999999997,129.62,0.204,115.4,-0.44799999999999995,7.06,0.138,7.26,0.08,-0.2576,-0.0391,741.113,0.14300000000000002,1311.84,4.551,1626.612,33.814,3.579429,0.15,0.11,111.15,158.003,1.166,130.31,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.09699999999999999,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.45299999999999996,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.44799999999999995,132.94,-0.39299999999999996,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.23399999999999999,7.03,0.11800000000000001,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.7280000000001,0.153,935.8760000000001,2.155,1354.126,1.023,978.4630000000001,0.39799999999999996,1637.6329999999994,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
7,66.35401825,153.95,0.7190000000000001,95.61,-0.552,162.27,0.179,-0.396,-0.073,-0.2272,-0.0455,1074.375,4.3389999999999995,2.980515,0.14,0.09,172.8,159.188,1.2770000000000001,191.52,156.88,0.36200000000000004,122.34,-0.33799999999999997,129.62,0.204,115.4,-0.44799999999999995,7.06,0.138,7.26,0.08,-0.2576,-0.0391,741.113,0.14300000000000002,1311.84,4.551,1626.612,33.814,3.579429,0.15,0.11,111.15,158.003,1.166,130.31,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.09699999999999999,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.45299999999999996,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.44799999999999995,132.94,-0.39299999999999996,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.23399999999999999,7.03,0.11800000000000001,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.7280000000001,0.153,935.8760000000001,2.155,1354.126,1.023,978.4630000000001,0.39799999999999996,1637.6329999999994,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
8,70.67829218,163.09,0.721,95.32,-0.581,155.72,0.24100000000000002,-0.38299999999999995,-0.106,-0.2605,-0.0587,697.362,5.037,3.44567,0.16,0.1,164.92,171.15200000000004,1.3430000000000002,195.35,156.88,0.36200000000000004,122.34,-0.33799999999999997,129.62,0.204,115.4,-0.44799999999999995,7.06,0.138,7.26,0.08,-0.2576,-0.0391,741.113,0.14300000000000002,1311.84,4.551,1626.612,33.814,3.579429,0.15,0.11,111.15,158.003,1.166,130.31,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.09699999999999999,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.45299999999999996,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.44799999999999995,132.94,-0.39299999999999996,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.23399999999999999,7.03,0.11800000000000001,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.7280000000001,0.153,935.8760000000001,2.155,1354.126,1.023,978.4630000000001,0.39799999999999996,1637.6329999999994,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
9,66.50686069,156.59,0.545,89.9,-0.514,149.99,0.11900000000000001,-0.368,-0.113,-0.2069,-0.0069,708.6160000000001,6.271,3.036368,0.11,0.1,289.15,264.328,1.439,304.35,156.88,0.36200000000000004,122.34,-0.33799999999999997,129.62,0.204,115.4,-0.44799999999999995,7.06,0.138,7.26,0.08,-0.2576,-0.0391,741.113,0.14300000000000002,1311.84,4.551,1626.612,33.814,3.579429,0.15,0.11,111.15,158.003,1.166,130.31,-0.784,-0.2148,0.0029,1.126227,0.11,0.11,214.2,171.28799999999995,1.402,242.78,140.09,0.09699999999999999,118.83,-0.27,143.89,-0.205,32.46,0.698,37.52,0.45299999999999996,32.2,0.716,33.16,1.069,32.62,1.32,129.99,0.44799999999999995,132.94,-0.39299999999999996,119.01,-0.079,121.45,-0.145,127.05,-0.215,145.67,-0.0,134.54,0.14800000000000002,143.89,-0.14300000000000002,114.35,-0.23399999999999999,7.03,0.11800000000000001,7.2,0.121,7.24,0.135,7.17,0.139,-0.96,951.373,1.165,898.809,9.845,996.7280000000001,0.153,935.8760000000001,2.155,1354.126,1.023,978.4630000000001,0.39799999999999996,1637.6329999999994,13.638,3032.525,15.987,942.738,2.576,3097.792,2.28,1.282615
